augmentation,auprc,auroc,brier,dataset,detector,ece,f1,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr
none,0.595997060131469,0.9998065288148571,0.00016666711476400002,amlnet,xgboost,0.00015688384429400002,0.467532467532467,structuring,1,0.482364555674256,0.620689655172413,0.39583333333333304,1.0,1.0,1,1,48,757,653915,8.143799543380737,0.560372725592582,0.9868415448000891,0.00028063764580700003,0.000281524486293,0.48888888888888804,0.506054362252451,85,0.66,0.43529411764705805,0.929411764705882,0.9411764705882351
none,0.6699491567159691,0.999857170208692,0.000144179286087,amlnet,xgboost,0.00013284987759900002,0.45569620253164506,structuring,1,0.46653570927992,0.5806451612903221,0.520833333333333,1.0,1.0,1,2,48,757,653915,10.226549625396729,0.586982049736062,0.9860220738237401,0.00026784380759,0.00023759334550200003,0.5,0.5219701594910501,85,0.7021276595744681,0.529411764705882,0.917647058823529,0.9411764705882351
adv_no_projection,0.596349494632882,0.9997932222860421,0.000171158994031,amlnet,xgboost,0.00015865813686700002,0.43373493975903604,structuring,1,0.439050439389842,0.514285714285714,0.39583333333333304,1.0,1.0,1,0,48,1514,654672,10.270622968673706,0.549983888604592,0.9884801894513111,0.000286578470526,0.00027141849446,0.48175182481751805,0.49621766027363207,85,0.634615384615384,0.447058823529411,0.9411764705882351,0.9411764705882351
adv_no_projection,0.6634746083309001,0.9998328546812171,0.00014772105911900002,amlnet,xgboost,0.000161310631461,0.482758620689655,structuring,1,0.485260877976507,0.538461538461538,0.45833333333333304,1.0,1.0,1,1,48,1514,654672,9.599159479141235,0.598309967521637,0.9858203412588501,0.000257712068871,0.00021870171827000003,0.5248226950354611,0.5361449368651321,85,0.660714285714285,0.5647058823529411,0.917647058823529,0.929411764705882
adv_no_projection,0.666229443879886,0.9998201225349411,0.000149499172817,amlnet,xgboost,0.000163452868921,0.46511627906976705,structuring,1,0.468189189891532,0.5263157894736841,0.45833333333333304,1.0,1.0,1,2,48,1514,654672,9.350807666778564,0.594253086049999,0.984030802595063,0.000263354693501,0.00023258099583700002,0.521739130434782,0.536220084256638,85,0.6792452830188671,0.552941176470588,0.9411764705882351,0.9411764705882351
ours,0.640476743166827,0.9998148573616691,0.000157593450892,amlnet,xgboost,0.00013412680047700002,0.45569620253164506,structuring,1,0.46653570927992,0.5806451612903221,0.4375,1.0,1.0,1,0,48,1514,654672,10.1397066116333,0.56663556386122,0.9861609406402461,0.00026908867639200004,0.00023745749939400003,0.5038167938931291,0.5276182774283911,85,0.717391304347826,0.447058823529411,0.929411764705882,0.9411764705882351
ours,0.6494379891045741,0.99981150679686,0.000145490484107,amlnet,xgboost,0.000125929281551,0.49350649350649306,structuring,1,0.509172110544701,0.6551724137931031,0.45833333333333304,1.0,1.0,1,1,48,1514,654672,10.60970950126648,0.586252373239998,0.9856486901978081,0.00026758731712900005,0.000237812744523,0.49635036496350304,0.5112638149467791,85,0.6538461538461531,0.529411764705882,0.917647058823529,0.9411764705882351
ours,0.664910192203485,0.9998384070457591,0.00014612720602000002,amlnet,xgboost,0.000139792807734,0.47058823529411703,structuring,1,0.47447803328430904,0.54054054054054,0.5,1.0,1.0,1,2,48,1514,654672,9.775272607803345,0.591566973544422,0.988704976394262,0.00026626398574,0.000233408559816,0.5362318840579711,0.5511236523644231,85,0.6981132075471691,0.529411764705882,0.917647058823529,0.9411764705882351
none,0.000651670792664,0.720745261344055,0.035312713038937,amlnet,topology_lr,0.041112932430551,0.002044757469044,structuring,1,0.011132583461299,0.001027984009137,0.0,0.0,0.0625,1,0,48,757,653915,8.19005036354065,0.0009680100513120001,0.6845446476545071,0.021117912090334003,0.024439217812574,0.0038402457757290005,0.012270839177477,85,0.0019519812609790001,0.0,0.0,0.08235294117647
none,0.0019298273716120001,0.8644930116791111,0.031714992538044,amlnet,topology_lr,0.032314664448812,0.004516584333098,structuring,1,0.025274609791745003,0.002273696177348,0.0,0.0625,0.1875,1,1,48,757,653915,8.127759218215942,0.0015130675977340002,0.762360984532755,0.04499249358296,0.046070320276609004,0.004160887656033,0.01897605122639,85,0.0020981116994700003,0.0,0.047058823529411,0.11764705882352901
none,0.0020409620890930002,0.8188555906567101,0.011589096462962,amlnet,topology_lr,0.013843856807074001,0.007708479327259001,structuring,1,0.028474097268773,0.0039201710620090004,0.0,0.020833333333333003,0.145833333333333,1,2,48,757,653915,8.233803749084473,0.001890902510603,0.788510081763311,0.009995111459939001,0.011797540767959,0.005740057400574001,0.013671260618515,85,0.0029736618521660004,0.0,0.023529411764705,0.08235294117647
