detector,augmentation,seed,time_bucket,auprc,recall_at_1pct_fpr,positives,rows
lightgbm,mixup_repaired_v2,1,Q3,0.8278159432474075,0.8658536585365854,82,54493
lightgbm,mixup_repaired_v2,1,Q4 latest,0.9839427718034406,0.9846153846153847,195,54494
lightgbm,mixup_repaired_v2,2,Q1 earliest,0.6874086746156843,0.7368421052631579,19,54494
lightgbm,mixup_repaired_v2,2,Q2,0.9926846806834434,1.0,53,54493
lightgbm,mixup_repaired_v2,2,Q3,0.8405414091278456,0.8658536585365854,82,54493
lightgbm,mixup_repaired_v2,2,Q4 latest,0.9844177830252633,0.9846153846153847,195,54494
lightgbm,mixup_repaired_v2,3,Q1 earliest,0.7212745797294109,0.9473684210526315,19,54494
lightgbm,mixup_repaired_v2,3,Q2,0.9911976196422834,1.0,53,54493
lightgbm,mixup_repaired_v2,3,Q3,0.831952825873249,0.8536585365853658,82,54493
lightgbm,mixup_repaired_v2,3,Q4 latest,0.9841013139732019,0.9846153846153847,195,54494
lightgbm,mixup_repaired_v2,4,Q1 earliest,0.6629609091595003,0.7894736842105263,19,54494
lightgbm,mixup_repaired_v2,4,Q2,0.9728919293250795,1.0,53,54493
lightgbm,mixup_repaired_v2,4,Q3,0.8245049233458224,0.9024390243902439,82,54493
lightgbm,mixup_repaired_v2,4,Q4 latest,0.9839194430878724,0.9846153846153847,195,54494
lightgbm,mixup_repaired_v2,5,Q1 earliest,0.6749054596208336,0.8421052631578947,19,54494
lightgbm,mixup_repaired_v2,5,Q2,0.97631451880734,1.0,53,54493
lightgbm,mixup_repaired_v2,5,Q3,0.8243422760445205,0.8536585365853658,82,54493
lightgbm,mixup_repaired_v2,5,Q4 latest,0.983844845820359,0.9846153846153847,195,54494
lightgbm,mixup_repaired_v2,6,Q1 earliest,0.6707192766564436,0.8421052631578947,19,54494
lightgbm,mixup_repaired_v2,6,Q2,0.9910187620080191,1.0,53,54493
lightgbm,mixup_repaired_v2,6,Q3,0.8259082745455271,0.8658536585365854,82,54493
lightgbm,mixup_repaired_v2,6,Q4 latest,0.9844582165966924,0.9846153846153847,195,54494
lightgbm,mixup_repaired_v2,7,Q1 earliest,0.6950939644066751,0.7894736842105263,19,54494
lightgbm,mixup_repaired_v2,7,Q2,0.9875251373644899,1.0,53,54493
lightgbm,mixup_repaired_v2,7,Q3,0.8291188325249028,0.8536585365853658,82,54493
lightgbm,mixup_repaired_v2,7,Q4 latest,0.9839781421330873,0.9846153846153847,195,54494
lightgbm,mixup_repaired_v2,8,Q1 earliest,0.7180350416452909,0.8947368421052632,19,54494
lightgbm,mixup_repaired_v2,8,Q2,0.9889935440179387,1.0,53,54493
lightgbm,mixup_repaired_v2,8,Q3,0.8271938253096018,0.8902439024390244,82,54493
lightgbm,mixup_repaired_v2,8,Q4 latest,0.9838319054591417,0.9846153846153847,195,54494
lightgbm,mixup_repaired_v2,9,Q1 earliest,0.6423514179328531,0.7894736842105263,19,54494
lightgbm,mixup_repaired_v2,9,Q2,0.9703547699579971,1.0,53,54493
lightgbm,mixup_repaired_v2,9,Q3,0.8054442711170899,0.8780487804878049,82,54493
lightgbm,mixup_repaired_v2,9,Q4 latest,0.9801117877038696,0.9846153846153847,195,54494
lightgbm,mixup_v2,0,Q1 earliest,0.6909458878854966,0.8947368421052632,19,54494
lightgbm,mixup_v2,0,Q2,0.9834546006294818,1.0,53,54493
lightgbm,mixup_v2,0,Q3,0.8393428610101028,0.8658536585365854,82,54493
lightgbm,mixup_v2,0,Q4 latest,0.9854381018046636,0.9846153846153847,195,54494
lightgbm,mixup_v2,1,Q1 earliest,0.7062280220898608,0.9473684210526315,19,54494
lightgbm,mixup_v2,1,Q2,0.9878296574834471,1.0,53,54493
lightgbm,mixup_v2,1,Q3,0.8342814074382743,0.9024390243902439,82,54493
lightgbm,mixup_v2,1,Q4 latest,0.9853919665764908,0.9846153846153847,195,54494
lightgbm,mixup_v2,2,Q1 earliest,0.7263183086560859,0.7894736842105263,19,54494
lightgbm,mixup_v2,2,Q2,0.9955860542284982,1.0,53,54493
lightgbm,mixup_v2,2,Q3,0.8474637778783868,0.9024390243902439,82,54493
lightgbm,mixup_v2,2,Q4 latest,0.9870206935944232,0.9897435897435898,195,54494
lightgbm,mixup_v2,3,Q1 earliest,0.7455265374298711,0.8947368421052632,19,54494
lightgbm,mixup_v2,3,Q2,0.9913847095648274,1.0,53,54493
lightgbm,mixup_v2,3,Q3,0.8461347196534749,0.8780487804878049,82,54493
lightgbm,mixup_v2,3,Q4 latest,0.9853945471534405,0.9846153846153847,195,54494
lightgbm,mixup_v2,4,Q1 earliest,0.7150890185970364,0.9473684210526315,19,54494
lightgbm,mixup_v2,4,Q2,0.984445218920224,1.0,53,54493
lightgbm,mixup_v2,4,Q3,0.8501350663532143,0.926829268292683,82,54493
lightgbm,mixup_v2,4,Q4 latest,0.9855824853039983,0.9897435897435898,195,54494
lightgbm,mixup_v2,5,Q1 earliest,0.7105289080808482,0.8947368421052632,19,54494
lightgbm,mixup_v2,5,Q2,0.9895125379614835,1.0,53,54493
lightgbm,mixup_v2,5,Q3,0.8394222568044742,0.926829268292683,82,54493
lightgbm,mixup_v2,5,Q4 latest,0.9861836953083312,0.9897435897435898,195,54494
lightgbm,mixup_v2,6,Q1 earliest,0.7132090001001814,0.9473684210526315,19,54494
lightgbm,mixup_v2,6,Q2,0.9917205039534396,1.0,53,54493
lightgbm,mixup_v2,6,Q3,0.8457908280826947,0.9024390243902439,82,54493
lightgbm,mixup_v2,6,Q4 latest,0.9861541351005364,0.9897435897435898,195,54494
lightgbm,mixup_v2,7,Q1 earliest,0.7238669802117425,0.8421052631578947,19,54494
lightgbm,mixup_v2,7,Q2,0.9918077156049585,1.0,53,54493
lightgbm,mixup_v2,7,Q3,0.845953854078038,0.8780487804878049,82,54493
lightgbm,mixup_v2,7,Q4 latest,0.9858347903195007,0.9846153846153847,195,54494
lightgbm,mixup_v2,8,Q1 earliest,0.7175784188868555,0.8421052631578947,19,54494
lightgbm,mixup_v2,8,Q2,0.9897213736739743,1.0,53,54493
lightgbm,mixup_v2,8,Q3,0.8405549477319155,0.8902439024390244,82,54493
lightgbm,mixup_v2,8,Q4 latest,0.9855521556041174,0.9846153846153847,195,54494
lightgbm,mixup_v2,9,Q1 earliest,0.716263368566,0.8947368421052632,19,54494
lightgbm,mixup_v2,9,Q2,0.984656285714316,1.0,53,54493
lightgbm,mixup_v2,9,Q3,0.8513144507007475,0.926829268292683,82,54493
lightgbm,mixup_v2,9,Q4 latest,0.9852996368455269,0.9897435897435898,195,54494
