run_name,heldout_typology,detector,augmentation,auprc,auprc,auprc,auroc,auroc,auroc,recall_at_1pct_fpr,recall_at_1pct_fpr,recall_at_1pct_fpr,precision_at_k,precision_at_k,precision_at_k,ece,ece,ece
,,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
cikm_v4_heldout_integration_5seed,integration,xgboost,plausible_typology_projected_v2,0.0005505173376012,0.00018498799549360564,5,0.9416880484248658,0.015568394360459542,5,0.0,0.0,5,0.0,0.0,5,0.00028905238368119997,1.3763418430398347e-05,5
cikm_v4_heldout_integration_5seed,integration,xgboost,random_feasible_v2,0.0002833573766242,5.2238736391598006e-05,5,0.888902081032121,0.022755795303301934,5,0.0,0.0,5,0.0,0.0,5,0.00024867577346,9.950218580454251e-06,5
cikm_v4_heldout_integration_5seed,integration,xgboost,typology_projected_v2,0.00043641473136,4.7714393598099416e-05,5,0.9300719833870896,0.008135023665599246,5,0.0,0.0,5,0.0,0.0,5,0.00029012649526920003,2.909262669748718e-05,5
cikm_v4_heldout_layering_10seed,layering,lightgbm,curriculum_projected_v2,0.9452740476022796,0.002826863294782704,10,0.9934319221736345,0.0026136033758959744,10,0.9550143266475641,0.005738612754842395,10,0.9209169054441256,0.006364214421760373,10,0.0002481699091408,1.489712217545302e-05,10
cikm_v4_heldout_layering_10seed,layering,lightgbm,hard_projected_v2,0.945757446561678,0.0014588705171953154,10,0.9940999280787475,0.002388949889730258,10,0.9521489971346702,0.004063428345020601,10,0.931232091690544,0.005402917143736736,10,0.0002493694476816,1.7357455389627547e-05,10
cikm_v4_heldout_layering_10seed,layering,lightgbm,none,0.9318258327593612,0.001423567520489619,10,0.9967005794845036,0.0005475980288816453,10,0.9518624641833808,0.0018121935015292152,10,0.8982808022922629,0.0015101612512742873,10,0.00029885064403789997,9.63136149073243e-06,10
cikm_v4_heldout_layering_10seed,layering,lightgbm,plausible_hard_projected_v2,0.9467820043141575,0.0017062885167689421,10,0.9956114409101902,0.001010568216132093,10,0.9530085959885384,0.0030801366755677704,10,0.9309455587392546,0.004366429589555879,10,0.0002575209016917,1.0417131772350181e-05,10
cikm_v4_heldout_layering_10seed,layering,lightgbm,plausible_typology_projected_v2,0.9460540161496306,0.003302746591906819,10,0.995883646226438,0.0010549430021411894,10,0.9544412607449854,0.0053092424487822315,10,0.9332378223495699,0.0055773835035937145,10,0.00025052282072689995,1.4164376724222305e-05,10
cikm_v4_heldout_layering_10seed,layering,lightgbm,random_feasible_v2,0.9342210672234248,0.0017962539056402258,10,0.9966874618381224,0.0007735424636841837,10,0.9553008595988537,0.004907443201018243,10,0.904011461318051,0.007051013877857419,10,0.0002794540390745,1.690646535235594e-05,10
cikm_v4_heldout_layering_10seed,layering,lightgbm,typology_projected_v2,0.9473495783548327,0.0018101919349142986,10,0.9944360468656649,0.0020877249398222448,10,0.9544412607449854,0.004570577311940993,10,0.9361031518624637,0.0023589472846664203,10,0.0002474528966207,1.1541961410183852e-05,10
cikm_v4_heldout_layering_10seed,layering,xgboost,curriculum_projected_v2,0.9455723284840577,0.002560717791180883,10,0.9930882570863826,0.0018111582256772677,10,0.9538681948424067,0.005309242448782213,10,0.926934097421203,0.008462294721427632,10,0.00024283775802379999,7.998648567556401e-06,10
cikm_v4_heldout_layering_10seed,layering,xgboost,hard_projected_v2,0.9450855848975479,0.0027740251664636474,10,0.9928381390005742,0.0020305058656020416,10,0.9515759312320913,0.0041522569473322595,10,0.9352435530085955,0.0024162580020388605,10,0.0002508248587228,1.3297106941750982e-05,10
cikm_v4_heldout_layering_10seed,layering,xgboost,none,0.9274052506621885,0.0009745274332597825,10,0.9934704890809712,0.0010848864507452868,10,0.9426934097421199,0.0027014585718683802,10,0.902578796561604,0.0013507292859341793,10,0.0002861954882479,6.904854511677533e-06,10
cikm_v4_heldout_layering_10seed,layering,xgboost,plausible_hard_projected_v2,0.9452190189252387,0.002440973132626741,10,0.994194017534302,0.0009719560945958862,10,0.954154727793696,0.004870123699706625,10,0.9352435530085955,0.0027681712982214925,10,0.0002437685287517,1.2968537253027585e-05,10
cikm_v4_heldout_layering_10seed,layering,xgboost,plausible_typology_projected_v2,0.9408544128960283,0.003708565118441981,10,0.9936276019611292,0.001695161489646119,10,0.955587392550143,0.007429011072638079,10,0.9358166189111744,0.003080136675567772,10,0.0002496519872466,1.0966398531246146e-05,10
cikm_v4_heldout_layering_10seed,layering,xgboost,random_feasible_v2,0.9316865230968082,0.0015182086705738697,10,0.9947808139774095,0.0010479610824528885,10,0.9475644699140398,0.0038323596270752724,10,0.9060171919770769,0.004639907469528634,10,0.0002792351421069,1.75122565535926e-05,10
cikm_v4_heldout_layering_10seed,layering,xgboost,typology_projected_v2,0.9418684226371801,0.004870575089770872,10,0.993145322073899,0.0018994753718336393,10,0.954154727793696,0.007147387558307493,10,0.9363896848137532,0.002633056113102261,10,0.00025740745720360004,1.4070504227392967e-05,10
