baseline,augmentation,dataset,detector,heldout_typology,mean_delta,ci_low,ci_high,n_pairs,win_rate
none,plausible_typology_projected_v2,amlnet,xgboost,integration,0.0002496234000618,7.132886610271302e-05,0.000427917934020887,5,1.0
none,plausible_typology_projected_v2,amlnet,xgboost,layering,0.013449162233839884,0.011434557599047539,0.015463766868632229,10,1.0
none,plausible_typology_projected_v2,amlnet,xgboost,structuring,-0.2325606035693036,-0.2605192145529465,-0.20460199258566067,5,0.0
none,random_feasible_v2,all,all,all,0.008941335550281019,-0.002376055120851919,0.020258726221413954,40,0.75
none,random_feasible_v2,amlnet,lightgbm,integration,-2.7731759792599997e-05,-5.806748651793227e-05,2.603966932732276e-06,5,0.2
none,random_feasible_v2,amlnet,lightgbm,layering,0.0023952344640638112,0.0014783518552447948,0.0033121170728828277,10,1.0
none,random_feasible_v2,amlnet,lightgbm,structuring,-0.025851405781886404,-0.0653971931365433,0.01369438157277049,5,0.4
none,random_feasible_v2,amlnet,xgboost,integration,-1.7536560915199992e-05,-7.625692808251825e-05,4.118380625211826e-05,5,0.4
none,random_feasible_v2,amlnet,xgboost,layering,0.004281272434619754,0.0031483206815705613,0.005414224187668947,10,1.0
none,random_feasible_v2,amlnet,xgboost,structuring,0.08407434470747521,0.04464493965918513,0.1235037497557653,5,1.0
none,typology_projected_v2,all,all,all,-0.05144778709943134,-0.08531409645490276,-0.017581477743959913,40,0.625
none,typology_projected_v2,amlnet,lightgbm,integration,-5.5450641462027903e-05,-8.516960607995967e-05,-2.5731676844096136e-05,5,0.0
none,typology_projected_v2,amlnet,lightgbm,layering,0.015523745595471549,0.01432679723522385,0.01672069395571925,10,1.0
none,typology_projected_v2,amlnet,lightgbm,structuring,-0.23254465193316962,-0.26927253857238764,-0.1958167652939516,5,0.0
none,typology_projected_v2,amlnet,xgboost,integration,0.0001355207938206,6.876320316743289e-05,0.0002022783844737671,5,1.0
none,typology_projected_v2,amlnet,xgboost,layering,0.014463171974991551,0.011797434528518702,0.017128909421464403,10,1.0
none,typology_projected_v2,amlnet,xgboost,structuring,-0.2390915501555658,-0.2657013714635024,-0.21248172884762917,5,0.0
random_feasible_v2,curriculum_projected_v2,all,all,all,-0.059773457707720815,-0.0982091508858181,-0.021337764529623535,40,0.6
random_feasible_v2,curriculum_projected_v2,amlnet,lightgbm,integration,-3.613057640667141e-05,-6.663290635362604e-05,-5.628246459716779e-06,5,0.0
random_feasible_v2,curriculum_projected_v2,amlnet,lightgbm,layering,0.01105298037885486,0.009166816234448564,0.012939144523261155,10,1.0
random_feasible_v2,curriculum_projected_v2,amlnet,lightgbm,structuring,-0.20520733931788424,-0.22123219912418984,-0.18918247951157863,5,0.0
random_feasible_v2,curriculum_projected_v2,amlnet,xgboost,integration,4.1481932104200015e-05,-5.290498490088141e-06,8.825436269848817e-05,5,0.8
random_feasible_v2,curriculum_projected_v2,amlnet,xgboost,layering,0.013885805387249461,0.012211243308270732,0.01556036746622819,10,1.0
random_feasible_v2,curriculum_projected_v2,amlnet,xgboost,structuring,-0.32286324523178844,-0.35800512847561705,-0.28772136198795983,5,0.0
random_feasible_v2,hard_projected_v2,all,all,all,-0.059219403010821056,-0.09742211055734001,-0.02101669546430209,40,0.625
random_feasible_v2,hard_projected_v2,amlnet,lightgbm,integration,-3.044898148925866e-05,-5.251415085967985e-05,-8.383812118837468e-06,5,0.0
random_feasible_v2,hard_projected_v2,amlnet,lightgbm,layering,0.011536379338253144,0.010164302812549672,0.012908455863956616,10,1.0
random_feasible_v2,hard_projected_v2,amlnet,lightgbm,structuring,-0.20225593375648324,-0.22135741057823938,-0.1831544569347271,5,0.0
random_feasible_v2,hard_projected_v2,amlnet,xgboost,integration,0.0001349119579542,7.278863720202989e-05,0.0001970352787063701,5,1.0
random_feasible_v2,hard_projected_v2,amlnet,xgboost,layering,0.013399061800739664,0.01168297015316553,0.015115153448313799,10,1.0
random_feasible_v2,hard_projected_v2,amlnet,xgboost,structuring,-0.3214746355845359,-0.35687647948664253,-0.2860727916824292,5,0.0
random_feasible_v2,none,all,all,all,-0.008941335550281015,-0.020258726221413954,0.0023760551208519224,40,0.25
random_feasible_v2,none,amlnet,lightgbm,integration,2.7731759792599997e-05,-2.603966932732276e-06,5.806748651793227e-05,5,0.8
random_feasible_v2,none,amlnet,lightgbm,layering,-0.0023952344640638112,-0.0033121170728828277,-0.0014783518552447948,10,0.0
random_feasible_v2,none,amlnet,lightgbm,structuring,0.025851405781886404,-0.01369438157277049,0.0653971931365433,5,0.6
random_feasible_v2,none,amlnet,xgboost,integration,1.7536560915199992e-05,-4.118380625211826e-05,7.625692808251825e-05,5,0.6
random_feasible_v2,none,amlnet,xgboost,layering,-0.004281272434619754,-0.005414224187668947,-0.0031483206815705613,10,0.0
random_feasible_v2,none,amlnet,xgboost,structuring,-0.08407434470747521,-0.1235037497557653,-0.04464493965918513,5,0.0
random_feasible_v2,plausible_hard_projected_v2,all,all,all,-0.05869663841421544,-0.0966776532635033,-0.02071562356492758,40,0.65
random_feasible_v2,plausible_hard_projected_v2,amlnet,lightgbm,integration,-1.650868410245298e-05,-6.28918709341036e-05,2.9874502729197626e-05,5,0.2
random_feasible_v2,plausible_hard_projected_v2,amlnet,lightgbm,layering,0.01256093709073266,0.011114304726234933,0.014007569455230387,10,1.0
random_feasible_v2,plausible_hard_projected_v2,amlnet,lightgbm,structuring,-0.20632370554114443,-0.22633319391693033,-0.18631421716535854,5,0.0
random_feasible_v2,plausible_hard_projected_v2,amlnet,xgboost,integration,0.00037410500957,0.0002814273717010371,0.00046678264743896296,5,1.0
random_feasible_v2,plausible_hard_projected_v2,amlnet,xgboost,layering,0.013532495828430658,0.011844520803935613,0.015220470852925702,10,1.0
random_feasible_v2,plausible_hard_projected_v2,amlnet,xgboost,structuring,-0.3157938639363732,-0.3511839378009526,-0.28040379007179383,5,0.0
random_feasible_v2,plausible_typology_projected_v2,all,all,all,-0.06016104068716015,-0.09803324383378255,-0.022288837540537745,40,0.675
random_feasible_v2,plausible_typology_projected_v2,amlnet,lightgbm,integration,-2.1659982506319592e-05,-6.250893894731163e-05,1.9188973934672453e-05,5,0.4
random_feasible_v2,plausible_typology_projected_v2,amlnet,lightgbm,layering,0.011832948926205667,0.010004880117042762,0.013661017735368573,10,1.0
random_feasible_v2,plausible_typology_projected_v2,amlnet,lightgbm,structuring,-0.20690055464982465,-0.2270291592291519,-0.1867719500704974,5,0.0
random_feasible_v2,plausible_typology_projected_v2,amlnet,xgboost,integration,0.000267159960977,0.00011390273277777794,0.0004204171891762221,5,1.0
random_feasible_v2,plausible_typology_projected_v2,amlnet,xgboost,layering,0.00916788979922013,0.006583966898934389,0.01175181269950587,10,1.0
random_feasible_v2,plausible_typology_projected_v2,amlnet,xgboost,structuring,-0.31663494827677885,-0.3540919334785148,-0.2791779630750429,5,0.0
random_feasible_v2,typology_projected_v2,all,all,all,-0.06038912264971234,-0.09881603542486936,-0.02196220987455532,40,0.675
random_feasible_v2,typology_projected_v2,amlnet,lightgbm,integration,-2.771888166942791e-05,-6.23348801094344e-05,6.897116770578584e-06,5,0.4
random_feasible_v2,typology_projected_v2,amlnet,lightgbm,layering,0.013128511131407738,0.011439634853611836,0.01481738740920364,10,1.0
random_feasible_v2,typology_projected_v2,amlnet,lightgbm,structuring,-0.20669324615128323,-0.2272439376279475,-0.18614255467461896,5,0.0
random_feasible_v2,typology_projected_v2,amlnet,xgboost,integration,0.0001530573547358,0.00011100801944823354,0.00019510669002336642,5,1.0
random_feasible_v2,typology_projected_v2,amlnet,xgboost,layering,0.010181899540371797,0.007178500362207851,0.013185298718535743,10,1.0
random_feasible_v2,typology_projected_v2,amlnet,xgboost,structuring,-0.32316589486304104,-0.3524847834492749,-0.29384700627680715,5,0.0
