augmentation,auprc,auroc,brier,dataset,detector,ece,f1,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr
none,0.003813484985006,0.7865966238156441,0.7820604926065581,amlnet,topology_lr,0.7906513494303431,0.003996211683721,layering,1,0.019621665017415,0.002002141017851,0.0,0.0,0.031518624641833005,1,2,349,220,653378,6.766441106796265,0.0036341964622920004,0.808178210809916,0.7195162517632411,0.7309200385663991,0.003664744656101,0.021450850930373,296,0.0018357705850650002,0.030405405405405,0.04054054054054,0.04054054054054
adv_no_projection,0.159665547506114,0.9893720204934421,0.011230733528035,amlnet,topology_lr,0.011541835594947002,0.187698161065313,layering,1,0.296778960988059,0.105525846702317,0.12607449856733502,0.6189111747851,0.790830945558739,1,0,349,440,653598,7.759218692779541,0.13133798311541,0.9784741071707971,0.010610173782865,0.010931618509158001,0.162330905306971,0.265148629018353,296,0.090452261306532,0.19256756756756702,0.5540540540540541,0.780405405405405
adv_no_projection,0.003973892190135,0.7920374648828441,0.7516525914665351,amlnet,topology_lr,0.7650454122652791,0.004138860560952,layering,1,0.021487664849518,0.002073746488973,0.0,0.0,0.042979942693409004,1,1,349,440,653598,8.668342113494873,0.003168128505674,0.772391683393709,0.694758087197852,0.7138704056685691,0.0036931727420840004,0.021247500235471003,296,0.0018500854624250002,0.0,0.0,0.0
adv_no_projection,0.13837600209855402,0.968376261707776,0.22947702630732703,amlnet,topology_lr,0.260892749583755,0.011798893634899001,layering,1,0.064340479102223,0.005935711140466001,0.045845272206303,0.63323782234957,0.773638968481375,1,2,349,440,653598,8.115406513214111,0.118347694314005,0.9526338060989251,0.11788926069476001,0.1432907259058,0.01761739472133,0.08214418862327201,296,0.008894914357516001,0.077702702702702,0.591216216216216,0.773648648648648
ours,0.11826646215644901,0.9889844093816911,0.144076312743283,amlnet,topology_lr,0.16563703629384802,0.019049201207187002,layering,1,0.088835062677729,0.009617535227018002,0.065902578796561,0.507163323782234,0.7822349570200571,1,0,349,440,653598,6.603496313095093,0.10182637691917501,0.9775988090767611,0.148132226534491,0.172460255371293,0.015304347826086001,0.078132354952731,296,0.0077132608754280005,0.135135135135135,0.54054054054054,0.7668918918918911
ours,0.0038096915819580005,0.78157729065896,0.754963586721431,amlnet,topology_lr,0.7674729668831011,0.004112438343139,layering,1,0.021045111297995002,0.0020604927317010003,0.0,0.034383954154727,0.034383954154727,1,1,349,440,653598,7.81023383140564,0.0030143294584440003,0.761462557004818,0.700844262643032,0.7189499311283251,0.003667163658281,0.020946195482649,296,0.0018370317634860002,0.0,0.006756756756756001,0.033783783783783
ours,0.013736648081688,0.9312261404949561,0.704613855311623,amlnet,topology_lr,0.721179943711948,0.004385355188494,layering,1,0.024185730275545003,0.0021975238276170004,0.0,0.020057306590257,0.05730659025787901,1,2,349,440,653598,8.133463621139526,0.01851796844523,0.933990953240277,0.6852065054516131,0.705843632215236,0.0037995050304670003,0.023093235868460002,296,0.0019033930895170001,0.0,0.09797297297297201,0.11824324324324301
none,0.8843265275564941,0.984035358264936,0.0013589211042710002,amlnet,graphsage_lite,0.002536807651622,0.677316293929712,layering,1,0.700217362292543,0.538983050847457,0.828080229226361,0.9340974212034381,0.9369627507163321,1,0,349,220,653378,54.597452878952026,0.8158444050772491,0.9682022343579171,0.001245975227376,0.001965071592856,0.6407035175879391,0.662285269153795,296,0.51,0.7432432432432431,0.905405405405405,0.9155405405405401
none,0.9121130744692371,0.9767611605489711,0.0015019097696710002,amlnet,graphsage_lite,0.005429624482148,0.6451612903225801,layering,1,0.6748725512345041,0.49766718506998403,0.882521489971346,0.9312320916905441,0.939828080229226,1,1,349,220,653378,44.46363663673401,0.85385415211768,0.9511952198656171,0.0011621347616240002,0.003934935065286,0.638297872340425,0.6603012859121861,296,0.506958250497017,0.820945945945945,0.8851351351351351,0.888513513513513
none,0.861953439916724,0.9743294256668351,0.0017563289313800002,amlnet,graphsage_lite,0.005055762996118001,0.6265761396702231,layering,1,0.6613865543981281,0.473607038123167,0.7793696275071631,0.9369627507163321,0.9426934097421201,1,2,349,220,653378,48.86933660507202,0.7470112290383281,0.957040379168659,0.0013773374879420001,0.002647728567146,0.6237623762376231,0.646733699268447,296,0.4921875,0.638513513513513,0.8851351351351351,0.9020270270270271
adv_no_projection,0.8958718181999301,0.985442177452934,0.0009774407830510001,amlnet,graphsage_lite,0.001016704578075,0.7256027554535011,layering,1,0.7398736194442721,0.6053639846743291,0.84240687679083,0.9426934097421201,0.9484240687679081,1,0,349,440,653598,42.8491325378418,0.835421454896868,0.969472385974219,0.0009039190811240001,0.0009304833050850001,0.683783783783783,0.6974045221477121,296,0.569819819819819,0.79054054054054,0.9155405405405401,0.9358108108108101
adv_no_projection,0.480123893662986,0.5772434180533861,0.001700768158735,amlnet,graphsage_lite,0.0015971099823060002,0.46739130434782605,layering,1,0.46711811798816005,0.44444444444444403,0.47277936962750705,0.5300859598853861,0.5329512893982801,1,1,349,440,653598,46.6128306388855,0.8510082256897271,0.9704270117901431,0.0010472042870740001,0.001039162835991,0.668435013262599,0.6839124915601761,296,0.550218340611353,0.780405405405405,0.9155405405405401,0.9358108108108101
adv_no_projection,0.504883408650314,0.577628191814143,0.001098008297815,amlnet,graphsage_lite,0.0010013481656360001,0.5848739495798321,layering,1,0.5933049100998581,0.707317073170731,0.512893982808022,0.541547277936962,0.555873925501432,1,2,349,440,653598,53.40330100059509,0.8861271417555041,0.968958932812174,0.00046123164130100003,0.0005274923961810001,0.825242718446601,0.8257281937635951,296,0.7919254658385091,0.8412162162162161,0.9256756756756751,0.939189189189189
ours,0.8967280441541761,0.9850086947362531,0.001007363860761,amlnet,graphsage_lite,0.001015681835154,0.724336793540945,layering,1,0.7380198300734511,0.6061776061776061,0.845272206303724,0.9426934097421201,0.9484240687679081,1,0,349,440,653598,46.1033775806427,0.8253588133300981,0.965615875876151,0.0009290565606690001,0.0008704747210230001,0.6858710562414261,0.6978375986975811,296,0.577367205542725,0.7702702702702701,0.9155405405405401,0.9256756756756751
ours,0.901490415407441,0.984509373626789,0.0009641283524010001,amlnet,graphsage_lite,0.0009198326869300001,0.7226697353279631,layering,1,0.73659504935645,0.603846153846153,0.8538681948424061,0.9312320916905441,0.9426934097421201,1,1,349,440,653598,49.654380083084106,0.8527331384922371,0.96866830509729,0.0009012001564070001,0.0009072020420850001,0.6756393001345891,0.689546158250911,296,0.5615212527964201,0.8040540540540541,0.9087837837837831,0.9290540540540541
ours,0.934486374211371,0.9862351150164,0.00046150193618,amlnet,graphsage_lite,0.0006825101744460001,0.859042553191489,layering,1,0.8610307068356391,0.801488833746898,0.88538681948424,0.954154727793696,0.9598853868194841,1,2,349,440,653598,43.2090699672699,0.886820219096726,0.967951429609573,0.00045990879528800003,0.000500303989553,0.8260162601626011,0.826350495203464,296,0.7962382445141061,0.8513513513513511,0.922297297297297,0.9324324324324321
