run_name,dataset,detector,augmentation,label_fraction,heldout_typology,auprc,auprc,auprc,auroc,auroc,auroc,recall_at_1pct_fpr,recall_at_1pct_fpr,recall_at_1pct_fpr,precision_at_k,precision_at_k,precision_at_k,ece,ece,ece,training_seconds,training_seconds,training_seconds
,,,,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
cikm_v2_heldout_structuring,amlnet,pyg_sage,hard_projected_v2,1.0,structuring,0.016412653577468,0.004482449324236261,3,0.9926129299891501,0.002119662642680286,3,0.8333333333333327,0.25259074277046123,3,0.006944444444444333,0.01202813060811701,3,0.170106623452318,0.08596130600388611,3,18.185136953989666,1.9094696797296353,3
cikm_v2_heldout_structuring,amlnet,pyg_sage,none,1.0,structuring,0.016471043333903,0.0020477759727424247,3,0.9931379156295863,0.0006263726468719999,3,0.9444444444444441,0.06014065304058563,3,0.0,0.0,3,0.14027668144070668,0.06807934444051278,3,19.20596210161845,1.735078829439447,3
cikm_v2_heldout_structuring,amlnet,xgboost,adv_no_projection_v2,1.0,structuring,0.39693582664851473,0.0024296227196182745,3,0.9974224902674064,0.00033616419737621624,3,0.9930555555555554,0.01202813060811757,3,0.375,0.0,3,0.00025352030369366665,3.0496671150874714e-06,3,12.755407333374023,0.38753954707296706,3
cikm_v2_heldout_structuring,amlnet,xgboost,boundary_projected_v2,1.0,structuring,0.3767779108626594,0.0031296293185382254,3,0.9929255536409466,0.003267818289405852,3,0.7013888888888887,0.2511547405559045,3,0.375,0.0,3,0.00020648107913566667,0.00011124537209422228,3,13.318275292714437,0.15878031487408548,3
cikm_v2_heldout_structuring,amlnet,xgboost,hard_projected_v2,1.0,structuring,0.38059120878016134,0.005839872649095225,3,0.9943686578594678,0.00231891855151608,3,0.7777777777777773,0.18903691095578012,3,0.375,0.0,3,0.00018342849252033335,8.825763012553067e-05,3,13.302913427352905,0.3012320154503819,3
cikm_v2_heldout_structuring,amlnet,xgboost,none,1.0,structuring,0.6402217642534977,0.023307046224322,3,0.9998445018826981,1.721666703961788e-05,3,1.0,0.0,3,0.4652777777777777,0.03182344232608226,3,0.00015119360006766666,5.038230527921215e-06,3,12.17128618558248,0.28687365690695665,3
heldout_layering,amlnet,graphsage_lite,adv_no_projection,1.0,layering,0.6269597068377434,0.23321353117594568,3,0.713437929106821,0.23556266756738464,3,0.6790830945558733,0.23353753896021795,3,0.6093600764087864,0.20281864787017656,3,0.0012050542420056667,0.0003396170379671506,3,47.62175472577413,5.34893109367396,3
heldout_layering,amlnet,graphsage_lite,none,1.0,layering,0.8861310139808184,0.02512845723581329,3,0.9783753148269142,0.005050287360583517,3,0.9398280802292259,0.002865329512894088,3,0.8299904489016234,0.051602455240649645,3,0.004340731709962666,0.0015733879397273056,3,49.310142040252686,5.081268540583546,3
heldout_layering,amlnet,graphsage_lite,ours,1.0,layering,0.9109016112576627,0.020563336978113293,3,0.9852510611264808,0.0008880326211846574,3,0.9503342884431706,0.008753726255885108,3,0.8615090735434566,0.021120672767427094,3,0.0008726748988433334,0.00017151889577434867,3,46.3222758769989,3.2282259788256735,3
heldout_layering,amlnet,lightgbm,adv_no_projection,1.0,layering,0.9356471656084394,0.0013378103010577363,3,0.9978739770696831,0.00025964731463522917,3,0.9503342884431706,0.001654298765586325,3,0.902578796561604,0.002865329512893977,3,0.0002633203399046667,1.2583088099350689e-05,3,6.081233024597168,0.1833895717009791,3
heldout_layering,amlnet,lightgbm,none,1.0,layering,0.9303915017850827,0.004480750099720127,3,0.9966315486878349,0.0010579948340973704,3,0.9465138490926454,0.0033085975311726258,3,0.8978032473734473,0.001654298765586301,3,0.000259749177745,8.38262280963026e-06,3,6.189731597900391,0.1857783550189635,3
heldout_layering,amlnet,lightgbm,ours,1.0,layering,0.9312977666097385,0.0025212382340063957,3,0.9969462993471131,0.00046984842483560157,3,0.948424068767908,0.0,3,0.8987583572110788,0.006617195062345276,3,0.00026893207733766665,1.7011109004099773e-05,3,6.280082941055298,0.4111334385185613,3
heldout_layering,amlnet,topology_lr,adv_no_projection,1.0,layering,0.100671813931601,0.08441668814727425,3,0.9165952490280208,0.10837982591383773,3,0.5358166189111744,0.42689563488982646,3,0.05730659025787933,0.06381391819862482,3,0.34582666581466043,0.38386486894281513,3,8.180989106496176,0.45809622998829314,3
heldout_layering,amlnet,topology_lr,none,1.0,layering,0.0033895817906726667,0.001400845477887432,3,0.7231353079584618,0.14094402553684354,3,0.014326647564469332,0.01595347954965587,3,0.0,0.0,3,0.7410370980581756,0.2791809523205566,3,7.157635529836019,0.5334887269073808,3
heldout_layering,amlnet,topology_lr,ours,1.0,layering,0.04527093394003167,0.06341053911639781,3,0.9005959468452024,0.10704244390185759,3,0.29130850047755436,0.4253092417424206,3,0.021967526265520333,0.03804887160848502,3,0.551429982296299,0.3349073138758227,3,7.51573125521342,0.8063800694827926,3
heldout_layering,amlnet,xgboost,adv_no_projection,1.0,layering,0.9357739300383351,0.0031221067451205186,3,0.9949367877478221,0.0018269113298009002,3,0.9465138490926454,0.0033085975311726258,3,0.9102196752626547,0.010062706545227134,3,0.0002827911497913333,1.4031637884472843e-05,3,5.55833903948466,0.1350313892442263,3
heldout_layering,amlnet,xgboost,none,1.0,layering,0.9297737834397145,0.00045842069571708975,3,0.9949973135135698,0.000502657131102564,3,0.9455587392550141,0.002865329512893977,3,0.902578796561604,0.0,3,0.00028624761455233334,1.270884106089414e-05,3,5.504484494527181,0.13809885479233436,3
heldout_layering,amlnet,xgboost,ours,1.0,layering,0.9304787186937838,0.0016670591270759258,3,0.9939014464894363,0.0016032505940017602,3,0.948424068767908,0.002865329512893977,3,0.9044890162368667,0.005964659024258295,3,0.000282960728623,8.847087368516036e-06,3,5.846163829167684,0.35422544605017586,3
heldout_structuring,amlnet,graphsage_lite,adv_no_projection,1.0,structuring,0.6732508570458889,0.3214194138657175,3,0.968934983087625,0.012253265687033188,3,0.9444444444444441,0.02405626121623464,3,0.6527777777777777,0.30357629158881116,3,0.020605694988634668,0.012463880006140387,3,54.54251686731974,0.8882962905083933,3
heldout_structuring,amlnet,graphsage_lite,none,1.0,structuring,0.7309697741953887,0.35287935712120927,3,0.9717840162103514,0.021298423246932374,3,0.958333333333333,0.0,3,0.736111111111111,0.3134245582332432,3,0.02061846253085067,0.011156717880303061,3,57.59339110056559,3.1052947832273343,3
heldout_structuring,amlnet,graphsage_lite,ours,1.0,structuring,0.9284034025343963,0.021442072132780304,3,0.9721561682302632,0.012990521309403018,3,0.9513888888888887,0.012028130608117025,3,0.909722222222222,0.03182344232608215,3,0.016977065542541,0.007245599304405283,3,80.63023376464844,24.035844746738462,3
heldout_structuring,amlnet,lightgbm,adv_no_projection,1.0,structuring,0.5473277016064898,0.04008707054219416,3,0.999645574063437,8.090055284273729e-05,3,1.0,0.0,3,0.375,0.0,3,0.00018319030445466665,8.325803628022635e-06,3,7.358897924423218,1.4484022910202667,3
heldout_structuring,amlnet,lightgbm,none,1.0,structuring,0.5774351779086784,0.013932591523860083,3,0.9997264343608393,3.256527998802794e-05,3,1.0,0.0,3,0.375,0.0,3,0.00016680210426566668,3.762869391962031e-06,3,5.8867926597595215,0.1155648555226293,3
heldout_structuring,amlnet,lightgbm,ours,1.0,structuring,0.5391822800028357,0.03804242242076986,3,0.9996215138170909,0.00012862786281242017,3,1.0,0.0,3,0.375,0.0,3,0.00016998924734266667,3.764686901403588e-06,3,8.604899803797403,0.5136836240276733,3
