augmentation,auprc,auroc,brier,dataset,detector,ece,f1,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr,run_name,candidate_multiplier
adv_no_projection,0.251452191882698,0.9442260725483972,0.004094207782523,transxion,lightgbm,0.009974888465161,0.306809678223996,,1.0,0.365815630009368,0.197940135178628,0.361419068736141,0.6929046563192901,0.7272727272727271,1.0,2,902,5920,1820462,35.816675901412964,0.304785706463131,0.946196028455979,0.003639524022808,0.009126631212738,0.314451505940867,0.381230699830958,779,0.200352112676056,0.396662387676508,0.745827984595635,0.7843388960205391,full_matrix,
random_feasible,0.255924872485758,0.940621040355007,0.004091809849846,transxion,lightgbm,0.00917925533386,0.3,,1.0,0.357348983159893,0.193673337637185,0.375831485587583,0.677383592017738,0.73170731707317,1.0,0,902,5920,1820462,39.63485383987427,0.327503922061268,0.9480877967692152,0.003639624993689,0.008481810098458,0.310081743869209,0.37782525002624,779,0.196817710134901,0.406931964056482,0.7483953786906291,0.794608472400513,full_matrix,
random_feasible,0.249195375804564,0.935833804222418,0.004060281712564,transxion,lightgbm,0.009214267288291,0.292893401015228,,1.0,0.346957245090706,0.1899275839368,0.368070953436807,0.6607538802660751,0.710643015521064,1.0,1,902,5920,1820462,32.93578553199768,0.317176848604287,0.9466882931923272,0.003659832665398,0.008583086504136,0.304324028461959,0.370170886916934,779,0.193391304347826,0.408215661103979,0.7368421052631571,0.7779204107830551,full_matrix,
random_feasible,0.254837612093671,0.945746101927594,0.003885295724605,transxion,lightgbm,0.008618234822844,0.301013776969066,,1.0,0.353682004682623,0.19660441426146,0.364745011086474,0.6707317073170731,0.71840354767184,1.0,2,902,5920,1820462,35.88859438896179,0.317095843853455,0.949279247882164,0.00347180509383,0.007971113654872,0.321356711698764,0.384153552091275,779,0.207037037037037,0.399229781771501,0.747111681643132,0.779204107830551,full_matrix,
ours,0.248138440313562,0.943439042306534,0.004526799485091,transxion,lightgbm,0.010565967470506,0.278248911299564,,1.0,0.34186110708185,0.175382837330251,0.354767184035476,0.674057649667405,0.717294900221729,1.0,0,902,5920,1820462,39.8014497756958,0.308153050410617,0.948933669860522,0.004065734766193,0.009750055511983,0.28514156852919,0.358282560609773,779,0.177148194271481,0.38767650834403,0.7355584082156611,0.7766367137355581,full_matrix,
ours,0.249051310882023,0.933864267648972,0.004198740747687,transxion,lightgbm,0.009536584561242,0.28433034633083,,1.0,0.342412286629628,0.181902696002479,0.370288248337028,0.666297117516629,0.709534368070953,1.0,1,902,5920,1820462,35.178014278411865,0.313757330347735,0.950514843551338,0.003767161849653,0.008831492743579,0.298208640674394,0.367821088020857,779,0.187603579714948,0.394094993581514,0.739409499358151,0.788189987163029,full_matrix,
ours,0.244940582924967,0.9465669616300932,0.004572880363234,transxion,lightgbm,0.010581299002438,0.275482093663911,,1.0,0.338231140072468,0.173711638679791,0.3470066518847,0.666297117516629,0.71840354767184,1.0,2,902,5920,1820462,34.31629800796509,0.307508169819962,0.952377437462081,0.004125213298704,0.009789276112512,0.286001003512293,0.359199108714847,779,0.177736202057998,0.404364569961489,0.740693196405648,0.7779204107830551,full_matrix,
none,0.243691323619953,0.935283744229968,0.004911559838361,transxion,xgboost,0.014101266503445,0.252806466097889,,1.0,0.312730570396809,0.158502252252252,0.37250554323725,0.625277161862527,0.6818181818181811,1.0,0,902,2960,1817502,33.469154834747314,0.29818253396257,0.940455124073476,0.00448751387833,0.013295303973602,0.270742358078602,0.344286260291574,779,0.166915943763087,0.403080872913992,0.72400513478819,0.761232349165596,full_matrix,
none,0.255943483220455,0.9344531978914552,0.004943021033857,transxion,xgboost,0.014648009584981,0.258166253660734,,1.0,0.319020838772852,0.162001696352841,0.375831485587583,0.6374722838137471,0.6818181818181811,1.0,1,902,2960,1817502,33.793346881866455,0.306784851323012,0.939310960697416,0.004541150100685,0.013786653583265,0.268398268398268,0.342428931093111,779,0.165137614678899,0.414634146341463,0.718870346598202,0.7573812580231061,full_matrix,
none,0.249188160305895,0.9327645517702572,0.004880042363902,transxion,xgboost,0.014113812036505,0.25672594619243,,1.0,0.31580722241217,0.161595866819747,0.371396895787139,0.6274944567627491,0.684035476718403,1.0,2,902,2960,1817502,33.65549826622009,0.305487650969055,0.936991790888338,0.004484043500097,0.013368395636821,0.272660996354799,0.346518199371802,779,0.168165467625899,0.41976893453145,0.725288831835686,0.766367137355584,full_matrix,
random_graph,0.23150337204429,0.933012928626908,0.005127116230507,transxion,xgboost,0.015681673779266,0.258647976486547,,1.0,0.319190840350232,0.16245384833854,0.362527716186252,0.635254988913525,0.687361419068736,1.0,0,902,5920,1820462,35.30434226989746,0.27875374038868,0.937979243953983,0.004688856512779,0.014866228818053,0.273035887487875,0.34729031958907,779,0.168310911808669,0.381258023106546,0.7291399229781771,0.7689345314505771,full_matrix,
random_graph,0.238441677011871,0.931689742944188,0.005166973522622,transxion,xgboost,0.016039121738311,0.260637112942748,,1.0,0.3234573467779,0.163088932255366,0.361419068736141,0.6485587583148551,0.696230598669623,1.0,1,902,5920,1820462,32.50297451019287,0.280991603930576,0.933965475443628,0.00473113797145,0.015089010921901,0.275431861804222,0.351799523095751,779,0.169371496016524,0.391527599486521,0.7368421052631571,0.76765083440308,full_matrix,
random_graph,0.240860220142555,0.9382586511748512,0.005361227087709,transxion,xgboost,0.016176857495105,0.246297079983072,,1.0,0.311522846461885,0.152196652719665,0.360310421286031,0.6452328159645231,0.695121951219512,1.0,2,902,5920,1820462,36.951987981796265,0.289436730845089,0.938610264787882,0.004899068954353,0.015260260078744,0.261506755209526,0.340006448715923,779,0.159141583054626,0.388960205391527,0.732991014120667,0.7650834403080871,full_matrix,
adv_no_projection,0.244167243597016,0.928248065865327,0.006438698725693,transxion,xgboost,0.021492262313497,0.222476626597977,,1.0,0.292695193144639,0.134362756395482,0.376940133037694,0.62860310421286,0.6796008869179601,1.0,0,902,5920,1820462,30.97848534584045,0.294495273750325,0.932955643525717,0.005913701406522,0.020302406095218,0.237132735986663,0.319883792675356,779,0.141542288557213,0.386392811296534,0.718870346598202,0.7637997432605901,full_matrix,
adv_no_projection,0.238113286499983,0.931928417587035,0.00657254093123,transxion,xgboost,0.022185902456459,0.218439173680183,,1.0,0.287040135777058,0.131992602866389,0.350332594235033,0.624168514412416,0.6707317073170731,1.0,1,902,5920,1820462,30.479252338409424,0.292698350795827,0.9364060995356732,0.005979394069357,0.020694533383675,0.236279849183074,0.318049246872359,779,0.141176470588235,0.395378690629011,0.712451861360718,0.753530166880616,full_matrix,
