augmentation,auprc,auroc,brier,candidate_multiplier,dataset,detector,ece,f1,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr,run_name,eval_subset,heldout_train_positives
plausible_hard_projected_v2,0.943150379121218,0.99482149211088,0.000233811137942,8,amlnet,xgboost,0.000244886491826,0.9170182841068912,layering,1.0,0.9170365717154272,0.9005524861878451,0.934097421203438,0.948424068767908,0.954154727793696,0.75,1,349,385,653543,20.720539808273315,0.907015070356352,0.9877311113561592,0.000263155639101,0.000275374609294,0.8888888888888881,0.8890859645511741,296,0.914285714285714,0.871621621621621,0.922297297297297,0.93581081081081,cikm_v4_heldout_layering_10seed,,
plausible_hard_projected_v2,0.945763659432825,0.9934734541456752,0.000227467506084,8,amlnet,xgboost,0.000233178192379,0.9263456090651552,layering,1.0,0.9262858139541552,0.915966386554621,0.931232091690544,0.951289398280802,0.954154727793696,0.75,2,349,385,653543,20.110281944274902,0.904279410604875,0.991543685025931,0.000288258502876,0.000293505482148,0.882758620689655,0.8827919422675731,296,0.901408450704225,0.864864864864864,0.9256756756756752,0.929054054054054,cikm_v4_heldout_layering_10seed,,
plausible_hard_projected_v2,0.9438249354877852,0.994450747108749,0.000231277516856,8,amlnet,xgboost,0.000242122897772,0.921348314606741,layering,1.0,0.9213984193172792,0.90358126721763,0.936962750716332,0.948424068767908,0.948424068767908,0.75,3,349,385,653543,18.13671278953552,0.9006024775768381,0.9858480616995672,0.000274677808492,0.000278467026863,0.8865979381443291,0.8865775926964271,296,0.902097902097902,0.875,0.912162162162162,0.912162162162162,cikm_v4_heldout_layering_10seed,,
plausible_hard_projected_v2,0.948438567799439,0.9957924586370512,0.000218815218802,8,amlnet,xgboost,0.000226811934188,0.926553672316384,layering,1.0,0.926526946434275,0.9136490250696372,0.936962750716332,0.95702005730659,0.965616045845272,0.75,4,349,385,653543,20.56881666183472,0.908780720628455,0.9907406131113192,0.000274937515939,0.000283065390563,0.8873720136518771,0.887267042847493,296,0.896551724137931,0.8783783783783781,0.9256756756756752,0.93581081081081,cikm_v4_heldout_layering_10seed,,
plausible_hard_projected_v2,0.94377293531523,0.994360004542394,0.000229209326233,8,amlnet,xgboost,0.000249708823282,0.9189944134078212,layering,1.0,0.91915269105995,0.8964577656675751,0.939828080229226,0.948424068767908,0.954154727793696,0.75,5,349,385,653543,20.398245334625244,0.901122392755189,0.987336133653916,0.000256721338007,0.000264800714091,0.8907849829351531,0.8906847858815721,296,0.9,0.8851351351351351,0.912162162162162,0.912162162162162,cikm_v4_heldout_layering_10seed,,
plausible_hard_projected_v2,0.942171117987338,0.9936338665161312,0.000232247467638,8,amlnet,xgboost,0.00023784067276,0.922425952045134,layering,1.0,0.9224110002428292,0.9083333333333332,0.934097421203438,0.948424068767908,0.948424068767908,0.75,6,349,385,653543,19.959144830703732,0.901351344041042,0.987989002124471,0.000269929092352,0.000264573280448,0.8881239242685021,0.888134272124899,296,0.905263157894736,0.8783783783783781,0.9189189189189192,0.922297297297297,cikm_v4_heldout_layering_10seed,,
plausible_hard_projected_v2,0.945585199987828,0.992172176514831,0.000242417400471,8,amlnet,xgboost,0.000269948977217,0.916434540389972,layering,1.0,0.9166536524084552,0.8915989159891591,0.936962750716332,0.948424068767908,0.951289398280802,0.75,7,349,385,653543,19.921353101730347,0.9046322966373992,0.989351186626611,0.000279041199517,0.000280640325487,0.8842832469775471,0.8843529372851591,296,0.904593639575971,0.875,0.922297297297297,0.922297297297297,cikm_v4_heldout_layering_10seed,,
plausible_hard_projected_v2,0.949757996158222,0.994111449962064,0.0002395743532,8,amlnet,xgboost,0.000259730869252,0.9174825174825172,layering,1.0,0.91760728970831,0.896174863387978,0.936962750716332,0.954154727793696,0.95702005730659,0.75,8,349,385,653543,18.423550367355347,0.909967981970444,0.990496420946777,0.000294242909048,0.000297090473506,0.8786324786324781,0.8785324600698361,296,0.889273356401384,0.8783783783783781,0.932432432432432,0.932432432432432,cikm_v4_heldout_layering_10seed,,
plausible_hard_projected_v2,0.946340720018166,0.994200849559502,0.000225276497856,8,amlnet,xgboost,0.000236384313064,0.9263456090651552,layering,1.0,0.9262858139541552,0.915966386554621,0.931232091690544,0.948424068767908,0.954154727793696,0.75,9,349,385,653543,19.83147692680359,0.8980331536695011,0.988080468439162,0.000270551480637,0.000282018203478,0.8885077186963981,0.8884645874086181,296,0.902439024390243,0.8783783783783781,0.912162162162162,0.91554054054054,cikm_v4_heldout_layering_10seed,,
curriculum_projected_v2,0.9479750264271932,0.99441613274326,0.000229456006065,8,amlnet,xgboost,0.000239779836145,0.920679886685552,layering,1.0,0.9206105369149152,0.9103641456582632,0.931232091690544,0.95702005730659,0.95702005730659,0.75,0,349,385,653543,20.22685575485229,0.9075340257823852,0.991517467528177,0.000271901193981,0.000277590862132,0.887348353552859,0.8874998742764991,296,0.91103202846975,0.8682432432432431,0.9256756756756752,0.93581081081081,cikm_v4_heldout_layering_10seed,,
curriculum_projected_v2,0.94381328237216,0.9938703343762192,0.000230159948135,8,amlnet,xgboost,0.000232531642193,0.923295454545454,layering,1.0,0.923205033759042,0.915492957746478,0.92836676217765,0.945558739255014,0.954154727793696,0.75,1,349,385,653543,20.59805178642273,0.9037992922425032,0.9875576164050692,0.00027533619236,0.000285729106355,0.8854166666666661,0.8856078056950911,296,0.910714285714285,0.871621621621621,0.9256756756756752,0.939189189189189,cikm_v4_heldout_layering_10seed,,
curriculum_projected_v2,0.942665267728889,0.9920823160947252,0.000247064111193,8,amlnet,xgboost,0.000241661125086,0.911680911680911,layering,1.0,0.9115533138499232,0.906515580736543,0.916905444126074,0.948424068767908,0.951289398280802,0.75,2,349,385,653543,19.94475793838501,0.8993460794045051,0.987609896175604,0.000282083330201,0.000279879986342,0.8826619964973731,0.8831073014977181,296,0.916363636363636,0.864864864864864,0.9256756756756752,0.932432432432432,cikm_v4_heldout_layering_10seed,,
curriculum_projected_v2,0.946834333320099,0.9926235325678192,0.000223252647663,8,amlnet,xgboost,0.000235371458493,0.9239436619718312,layering,1.0,0.9239520346542972,0.908587257617728,0.939828080229226,0.948424068767908,0.948424068767908,0.75,3,349,385,653543,18.993728637695312,0.8999358041441711,0.9844223203326832,0.000279818903474,0.000276860507517,0.886206896551724,0.8862455519218181,296,0.904929577464788,0.871621621621621,0.912162162162162,0.912162162162162,cikm_v4_heldout_layering_10seed,,
curriculum_projected_v2,0.9452761194415952,0.993245880163065,0.000221048385763,8,amlnet,xgboost,0.000243494864033,0.922861150070126,layering,1.0,0.9229397725929652,0.9038461538461532,0.934097421203438,0.945558739255014,0.948424068767908,0.75,5,349,385,653543,18.96613836288452,0.901445525577181,0.9843701336971312,0.00026443622291,0.000262982116679,0.8854700854700851,0.8853797462959051,296,0.8961937716262971,0.881756756756756,0.912162162162162,0.912162162162162,cikm_v4_heldout_layering_10seed,,
curriculum_projected_v2,0.948317574975766,0.994914867949618,0.000245820006203,8,amlnet,xgboost,0.000231707908215,0.916666666666666,layering,1.0,0.9165372078430072,0.9193083573487032,0.916905444126074,0.95702005730659,0.965616045845272,0.75,4,349,385,653543,21.05577850341797,0.9018372894462532,0.989369883474476,0.000278690081208,0.000283242310023,0.8795811518324601,0.8799079566156691,296,0.909747292418772,0.875,0.9256756756756752,0.932432432432432,cikm_v4_heldout_layering_10seed,,
curriculum_projected_v2,0.944409087222539,0.988493146085722,0.000236778101512,8,amlnet,xgboost,0.000252751881117,0.921348314606741,layering,1.0,0.9213984193172792,0.90358126721763,0.936962750716332,0.948424068767908,0.948424068767908,0.75,6,349,385,653543,19.471635818481445,0.9048830596837152,0.984958746790568,0.000262971093798,0.000255031839902,0.8885077186963981,0.8884645874086181,296,0.902439024390243,0.8851351351351351,0.922297297297297,0.922297297297297,cikm_v4_heldout_layering_10seed,,
curriculum_projected_v2,0.943521654981074,0.993534973971748,0.000248116423867,8,amlnet,xgboost,0.000252740807065,0.918687589158345,layering,1.0,0.9185650703458492,0.9147727272727272,0.919770773638968,0.951289398280802,0.954154727793696,0.75,7,349,385,653543,20.021496057510376,0.8955926470940381,0.9891000170995832,0.000302763628346,0.000309592354036,0.8745644599303131,0.874830607602293,296,0.902877697841726,0.854729729729729,0.9256756756756752,0.9256756756756752,cikm_v4_heldout_layering_10seed,,
curriculum_projected_v2,0.9428944134263432,0.9936490868305112,0.000249864625385,8,amlnet,xgboost,0.000248102993858,0.914529914529914,layering,1.0,0.91440695812698,0.9093484419263452,0.919770773638968,0.948424068767908,0.954154727793696,0.75,9,349,385,653543,20.08776593208313,0.9001793717306571,0.989437235589782,0.000288611363331,0.000285762837838,0.8830715532286211,0.883404875445693,296,0.9133574007220212,0.8614864864864861,0.9256756756756752,0.9256756756756752,cikm_v4_heldout_layering_10seed,,
curriculum_projected_v2,0.950016524944918,0.9940523000811372,0.000245750108248,8,amlnet,xgboost,0.000250235064033,0.913963328631875,layering,1.0,0.91393357093802,0.9,0.925501432664756,0.95702005730659,0.95702005730659,0.75,8,349,385,653543,21.18999052047729,0.909919348495353,0.9877121428645932,0.000294251085808,0.000301153829077,0.880136986301369,0.880059004588122,296,0.892361111111111,0.871621621621621,0.9256756756756752,0.939189189189189,cikm_v4_heldout_layering_10seed,,
typology_projected_v2,0.937497482319138,0.9942053524552792,0.000229050435311,8,amlnet,xgboost,0.000245045123504,0.922644163150492,layering,1.0,0.922672583318884,0.906077348066298,0.936962750716332,0.954154727793696,0.954154727793696,0.75,0,349,385,653543,20.389917373657227,0.90632506440798,0.988653023509256,0.000274658969137,0.000284452938429,0.8828522920203731,0.882705262363166,296,0.8873720136518771,0.8783783783783781,0.9256756756756752,0.932432432432432,cikm_v4_heldout_layering_10seed,,
typology_projected_v2,0.939287342618862,0.993881354621146,0.0002438482161,8,amlnet,xgboost,0.000259363597042,0.9162011173184352,layering,1.0,0.916353915161012,0.893732970027247,0.934097421203438,0.948424068767908,0.954154727793696,0.75,1,349,385,653543,20.647969722747803,0.907050119617922,0.9865446803284512,0.000277968685833,0.000276616003938,0.8846815834767641,0.884686718839447,296,0.901754385964912,0.875,0.929054054054054,0.932432432432432,cikm_v4_heldout_layering_10seed,,
typology_projected_v2,0.943509373200321,0.993904040262734,0.000247277300637,8,amlnet,xgboost,0.000267854891035,0.9174825174825172,layering,1.0,0.91760728970831,0.896174863387978,0.934097421203438,0.948424068767908,0.954154727793696,0.75,2,349,385,653543,18.957007884979248,0.906912755416716,0.9902226817088352,0.000286367293885,0.000291994232227,0.8824531516183981,0.8823267445251031,296,0.8900343642611681,0.8783783783783781,0.9256756756756752,0.929054054054054,cikm_v4_heldout_layering_10seed,,
