acceptance_rate,augmentation,dataset,detector,detector_hardness,edit_distance,generated,heldout_typology,label_fraction,ledger_violation_rate,mean_flow_residual,median_flow_residual,profile_drift,rho,seed,temporal_violation_rate,run_name,categorical_fractionality_rate,negative_feature_rate,eval_subset,heldout_train_positives
0.03068783068783,adv_no_projection_v2,amlnet,xgboost,3.983463644815118,0.039760085487996,945,,1.0,0.9693121693121692,0.457235136099393,0.462483473514609,0.541402978347448,1.0,1,0.02,cikm_v2_main,,,,
0.044444444444444,adv_no_projection_v2,amlnet,xgboost,4.026872586306332,0.041841723628474,945,,1.0,0.955555555555555,0.449176221251843,0.459091412946586,0.552038246600709,1.0,2,0.02,cikm_v2_main,,,,
0.949206349206349,hard_projected_v2,amlnet,xgboost,8.906002766822189,0.175639785695594,945,,1.0,0.0,0.0,0.0,0.423026985479782,1.0,0,0.0,cikm_v2_main,,,,
0.949206349206349,hard_projected_v2,amlnet,xgboost,8.853500791038988,0.179237525420715,945,,1.0,0.0,0.0,0.0,0.419824591276727,1.0,1,0.0,cikm_v2_main,,,,
0.949206349206349,hard_projected_v2,amlnet,xgboost,8.89777897866392,0.181236049646352,945,,1.0,0.0,0.0,0.0,0.404607178942169,1.0,2,0.0,cikm_v2_main,,,,
0.949206349206349,boundary_projected_v2,amlnet,xgboost,8.884582864931756,0.175402472811493,945,,1.0,0.0,0.0,0.0,0.416185515021534,1.0,0,0.0,cikm_v2_main,,,,
0.949206349206349,boundary_projected_v2,amlnet,xgboost,8.836661206950962,0.177241298489025,945,,1.0,0.0,0.0,0.0,0.409809591470365,1.0,1,0.0,cikm_v2_main,,,,
0.949206349206349,boundary_projected_v2,amlnet,xgboost,8.868854421385189,0.17850563419252,945,,1.0,0.0,0.0,0.0,0.389118076431907,1.0,2,0.0,cikm_v2_main,,,,
,none,amlnet,random_forest,,,0,,1.0,,,,,1.0,0,,cikm_v2_main,,,,
,none,amlnet,random_forest,,,0,,1.0,,,,,1.0,1,,cikm_v2_main,,,,
,none,amlnet,random_forest,,,0,,1.0,,,,,1.0,2,,cikm_v2_main,,,,
0.949206349206349,random_feasible_v2,amlnet,random_forest,0.109482609156888,0.01960494814343,945,,1.0,0.0,0.0,0.0,2.1114740573755,1.0,0,0.0,cikm_v2_main,,,,
0.949206349206349,random_feasible_v2,amlnet,random_forest,0.130356895909561,0.019103296640325,945,,1.0,0.0,0.0,0.0,2.111921036079632,1.0,1,0.0,cikm_v2_main,,,,
0.949206349206349,random_feasible_v2,amlnet,random_forest,0.119834889848141,0.017724469469817,945,,1.0,0.0,0.0,0.0,2.096871027703116,1.0,2,0.0,cikm_v2_main,,,,
0.031746031746031,adv_no_projection_v2,amlnet,random_forest,5.404145467549423,0.039446105604883,945,,1.0,0.968253968253968,0.445801400683809,0.451604661880037,0.5561341378762841,1.0,0,0.02,cikm_v2_main,,,,
0.034920634920634,adv_no_projection_v2,amlnet,random_forest,5.565044851470163,0.038979184378701,945,,1.0,0.9650793650793652,0.431661040688308,0.426950190870542,0.5324935372684511,1.0,1,0.02,cikm_v2_main,,,,
0.039153439153439,adv_no_projection_v2,amlnet,random_forest,4.122342051668776,0.040688228712804,945,,1.0,0.96084656084656,0.440379244972693,0.440111992195632,0.580221441553119,1.0,2,0.02,cikm_v2_main,,,,
0.949206349206349,hard_projected_v2,amlnet,random_forest,13.815510557964275,0.122020451320999,945,,1.0,0.0,0.0,0.0,0.216699515628292,1.0,0,0.0,cikm_v2_main,,,,
