dataset,heldout_typology,seed,augmentation,generated,nn_distance_to_heldout_positive,nn_distance_to_train_positive,heldout_positive_count,train_positive_count,synthetic_log_amount_mean,synthetic_log_amount_std,synthetic_sender_tx_count_mean,synthetic_receiver_tx_count_mean,synthetic_pair_tx_count_mean,synthetic_sender_total_out_mean,synthetic_receiver_total_in_mean,synthetic_pair_total_amount_mean,heldout_positive_log_amount_mean,heldout_positive_log_amount_std,heldout_positive_sender_tx_count_mean,heldout_positive_receiver_tx_count_mean,heldout_positive_pair_tx_count_mean,heldout_positive_sender_total_out_mean,heldout_positive_receiver_total_in_mean,heldout_positive_pair_total_amount_mean,train_positive_log_amount_mean,train_positive_log_amount_std,train_positive_sender_tx_count_mean,train_positive_receiver_tx_count_mean,train_positive_pair_tx_count_mean,train_positive_sender_total_out_mean,train_positive_receiver_total_in_mean,train_positive_pair_total_amount_mean,detector_hardness,ledger_violation_rate,mean_flow_residual,median_flow_residual,profile_drift,edit_distance,categorical_fractionality_rate,negative_feature_rate,temporal_violation_rate,acceptance_rate
amlnet,layering,1,typology_projected_v2,165,0.7738496517129242,0.6373545697962555,645,220,7.253980704254735,0.7867977136885258,44.91603469848633,44.04539108276367,3.9825406074523926,38584.72265625,60424.62890625,1104.7723388671875,8.75843875428417,1.5734572049191338,92.96434020996094,69.16434478759766,5.3751935958862305,94912.234375,15173.140625,3892.300048828125,9.028257569420719,0.9457432853699705,34.91363525390625,33.86818313598633,1.6136363744735718,29885.47265625,28530.123046875,794.8223266601562,9.627540000746565,0.0,0.0,0.0,1.1052897071848882,0.46486901806071357,0.0,0.0,0.0,0.9454545454545454
amlnet,layering,1,plausible_typology_projected_v2,165,0.7190840793946299,0.5265333419776779,645,220,6.969492795404242,0.6177645712139556,39.50181579589844,32.342159271240234,4.68191385269165,33533.98046875,31295.021484375,907.1668701171875,8.75843875428417,1.5734572049191338,92.96434020996094,69.16434478759766,5.3751935958862305,94912.234375,15173.140625,3892.300048828125,9.028257569420719,0.9457432853699705,34.91363525390625,33.86818313598633,1.6136363744735718,29885.47265625,28530.123046875,794.8223266601562,8.046552193825788,0.0,0.0,0.0,0.8236699012976969,0.35993320837092,0.0,0.0,0.0,0.9454545454545454
amlnet,layering,2,random_feasible_v2,165,0.9947550753833277,0.31190191606880585,645,220,8.886438850773596,0.944589730814205,32.448486328125,29.012121200561523,1.5333333015441895,27224.279296875,18129.201171875,762.2416381835938,8.75843875428417,1.5734572049191338,92.96434020996094,69.16434478759766,5.3751935958862305,94912.234375,15173.140625,3892.300048828125,9.028257569420719,0.9457432853699705,34.91363525390625,33.86818313598633,1.6136363744735718,29885.47265625,28530.123046875,794.8222045898438,0.034669083101067595,0.0,0.0,0.0,2.4308451719895894,0.022639199591970617,0.0,0.0,0.0,0.9454545454545454
amlnet,layering,2,hard_projected_v2,165,0.7419350786937328,0.6160079119761106,645,220,7.314500491200536,0.7961565815591108,42.0771598815918,42.66798782348633,1.3611088991165161,41697.27734375,51005.55078125,1386.6248779296875,8.75843875428417,1.5734572049191338,92.96434020996094,69.16434478759766,5.3751935958862305,94912.234375,15173.140625,3892.300048828125,9.028257569420719,0.9457432853699705,34.91363525390625,33.86818313598633,1.6136363744735718,29885.47265625,28530.123046875,794.8222045898438,9.10849894879671,0.0,0.0,0.0,1.1803322042775517,0.4229262942189909,0.0,0.0,0.0,0.9454545454545454
amlnet,layering,2,plausible_hard_projected_v2,165,0.7768321474818781,0.5049708664485887,645,220,7.151641789644275,0.658953756834887,34.47018051147461,28.45425033569336,1.3325577974319458,32139.021484375,24232.0703125,1085.618896484375,8.75843875428417,1.5734572049191338,92.96434020996094,69.16434478759766,5.3751935958862305,94912.234375,15173.140625,3892.300048828125,9.028257569420719,0.9457432853699705,34.91363525390625,33.86818313598633,1.6136363744735718,29885.47265625,28530.123046875,794.8222045898438,6.563471103737287,0.0,0.0,0.0,0.995589167433541,0.27626475369617876,0.0,0.0,0.0,0.9454545454545454
amlnet,layering,2,curriculum_projected_v2,165,0.7159461791654206,0.5283927556587439,645,220,7.845415372367067,0.8670124344840496,39.17476272583008,44.69011688232422,1.5306884050369263,33085.8125,56869.6953125,643.0880737304688,8.75843875428417,1.5734572049191338,92.96434020996094,69.16434478759766,5.3751935958862305,94912.234375,15173.140625,3892.300048828125,9.028257569420719,0.9457432853699705,34.91363525390625,33.86818313598633,1.6136363744735718,29885.47265625,28530.123046875,794.8222045898438,4.086521642097765,0.0,0.0,0.0,1.6043114530738358,0.43439883608890334,0.0,0.0,0.0,0.9454545454545454
amlnet,layering,2,typology_projected_v2,165,0.7447746016521037,0.6287788376384037,645,220,7.296272213061354,0.8330657299961198,44.73850631713867,43.562103271484375,4.690093040466309,39704.078125,55661.1875,1077.6280517578125,8.75843875428417,1.5734572049191338,92.96434020996094,69.16434478759766,5.3751935958862305,94912.234375,15173.140625,3892.300048828125,9.028257569420719,0.9457432853699705,34.91363525390625,33.86818313598633,1.6136363744735718,29885.47265625,28530.123046875,794.8222045898438,9.945841404750126,0.0,0.0,0.0,1.1487373527423559,0.49822213609573224,0.0,0.0,0.0,0.9454545454545454
amlnet,layering,2,plausible_typology_projected_v2,165,0.7560771914192792,0.5309543503615874,645,220,7.106767487917605,0.6718836886400916,38.710166931152344,30.061803817749023,5.033758640289307,32033.916015625,27790.126953125,865.8178100585938,8.75843875428417,1.5734572049191338,92.96434020996094,69.16434478759766,5.3751935958862305,94912.234375,15173.140625,3892.300048828125,9.028257569420719,0.9457432853699705,34.91363525390625,33.86818313598633,1.6136363744735718,29885.47265625,28530.123046875,794.8222045898438,7.952572070130819,0.0,0.0,0.0,0.9582280194259463,0.36833035088941973,0.0,0.0,0.0,0.9454545454545454
amlnet,structuring,0,random_feasible_v2,568,2.260484509755979,0.24845515614654637,133,757,8.234582436367168,1.5924290812338187,33.93838119506836,25.054576873779297,1.8714789152145386,63255.9140625,14985.1123046875,4035.35302734375,8.582168950471702,0.9320084014914173,97.91728973388672,66.42857360839844,5.796992301940918,75184.6875,12422.1630859375,1570.43896484375,8.293175936317432,1.5374911855674132,33.623512268066406,24.56538963317871,1.9233818054199219,63417.03515625,14300.8623046875,3864.980224609375,0.022068601073326692,0.0,0.0,0.0,1.7140016642705702,0.016988017778073496,0.0,0.0,0.0,0.948943661971831
amlnet,structuring,0,hard_projected_v2,568,0.8388511394546729,0.36533324491960356,133,757,5.6209014212749056,0.7618504269412127,38.167030334472656,27.758533477783203,3.036818742752075,36968.24609375,10025.9423828125,1210.431396484375,8.582168950471702,0.9320084014914173,97.91728973388672,66.42857360839844,5.796992301940918,75184.6875,12422.1630859375,1570.43896484375,8.293175936317432,1.5374911855674132,33.623512268066406,24.56538963317871,1.9233818054199219,63417.03515625,14300.8623046875,3864.980224609375,7.762796339250294,0.0,0.0,0.0,0.6602693072915758,0.19102243836332047,0.0,0.0,0.0,0.948943661971831
