augmentation,auprc,auroc,brier,candidate_multiplier,dataset,detector,ece,eval_subset,f1,heldout_train_positives,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr
none,0.603562808143988,0.99034776640899,0.066798565740426,8,amlnet,pyg_gat,0.24983699865053202,all,0.23557692307692302,0,layering,1,0.33760441971601,0.136935258500232,0.521489971346704,0.7650429799426931,0.859598853868194,0.75,2,349,220,653378,110.98095846176147,0.200398336405395,0.977320622643374,0.067029960643156,0.249366760002516,0.170135085797736,0.271808058352606,296,0.095374539500614,0.283783783783783,0.587837837837837,0.7837837837837831
smote_repaired_v2,0.775593196930185,0.9882722474486051,0.10903108020571801,8,amlnet,pyg_gat,0.32229377931206005,all,0.140638481449525,0,layering,1,0.26372278828062,0.076043853510613,0.716332378223495,0.8538681948424061,0.91404011461318,0.75,0,349,385,653543,124.31306290626526,0.5559861595758371,0.9858942256062091,0.11096221287014602,0.324346686961949,0.075899178702917,0.18591464229669402,296,0.039609813774756,0.5371621621621621,0.7871621621621621,0.8445945945945941
smote_repaired_v2,0.7539544279044781,0.993423336389026,0.09053241284459501,8,amlnet,pyg_gat,0.29125691705432705,all,0.19122807017543803,0,layering,1,0.313577027228629,0.10647997394985301,0.679083094555873,0.8739255014326641,0.92836676217765,0.75,1,349,385,653543,102.82963299751282,0.500141159464052,0.9889822246296581,0.104338441140313,0.31416638027522703,0.10589141316904101,0.225565964867412,296,0.056145365455287005,0.49324324324324303,0.8175675675675671,0.8783783783783781
smote_repaired_v2,0.567768567445162,0.9902699071277741,0.07971863157813401,8,amlnet,pyg_gat,0.273071070236072,all,0.20572207084468602,0,layering,1,0.315601312879544,0.11673753382296001,0.501432664756447,0.7363896848137531,0.8510028653295121,0.75,2,349,385,653543,120.02214193344116,0.144529231124697,0.9778331910230791,0.07987497183013301,0.272764228519629,0.145432692307692,0.253039589391306,296,0.079815303430079,0.179054054054054,0.5439189189189191,0.7702702702702701
random_feasible_v2,0.7662095168255381,0.9928938774771271,0.15108800270706502,8,amlnet,pyg_gat,0.38126006083476505,all,0.068138292510835,0,layering,1,0.180696412953737,0.035311324697033006,0.7134670487106011,0.8567335243553,0.91404011461318,0.75,0,349,385,653543,127.19651436805725,0.520281464815991,0.98721232621633,0.150117067782244,0.379879322770709,0.045550675126077,0.144048467402452,296,0.023337222870478003,0.5270270270270271,0.797297297297297,0.854729729729729
random_feasible_v2,0.7362754759779551,0.9853446015447431,0.102190788486058,8,amlnet,pyg_gat,0.31089108902226903,all,0.177753837866953,0,layering,1,0.302170241500047,0.098097502972651,0.6590257879656161,0.8567335243553,0.9226361031518621,0.75,1,349,385,653543,98.49492573738098,0.47281344003978204,0.9902342692529881,0.11748118856378001,0.33512097160709003,0.10209327947117101,0.22228824001647302,296,0.053980582524271,0.486486486486486,0.8006756756756751,0.8952702702702701
random_feasible_v2,0.577428703511348,0.9915701577823891,0.083615120929447,8,amlnet,pyg_gat,0.280311994738968,all,0.20390309555854602,0,layering,1,0.314445957084696,0.11551658406404801,0.501432664756447,0.730659025787965,0.8567335243553,0.75,2,349,385,653543,119.99354934692383,0.16467671407099602,0.9795627154212161,0.084053953908234,0.281024959553185,0.147878787878787,0.25637740179977203,296,0.081225033288948,0.19256756756756702,0.5270270270270271,0.7702702702702701
curriculum_projected_v2,0.7407889615452491,0.9932388888248851,0.19979110543009201,8,amlnet,pyg_gat,0.440357952549757,all,0.019940236754396,0,layering,1,0.091792362990761,0.010071107241329001,0.664756446991404,0.8510028653295121,0.9169054441260741,0.75,0,349,385,653543,120.101722240448,0.47348442978645505,0.9870359440807621,0.19751363097492403,0.43753897078835,0.017406962785114,0.08518115654220201,296,0.008781492248062,0.47297297297297203,0.7837837837837831,0.8614864864864861
curriculum_projected_v2,0.697732969993618,0.9892699416894741,0.153330891005237,8,amlnet,pyg_gat,0.38371187454257605,all,0.069824922760041,0,layering,1,0.18338630876182302,0.03621407969234,0.6189111747851,0.8338108882521491,0.91404011461318,0.75,1,349,385,653543,117.1192262172699,0.38774275625993404,0.9893666315113151,0.16948411442382202,0.40498065311135806,0.039792027729636005,0.135511339435009,296,0.020312831764456002,0.42905405405405406,0.7837837837837831,0.864864864864864
curriculum_projected_v2,0.5579913333978911,0.991195298292158,0.14154289327866101,8,amlnet,pyg_gat,0.36907111604810106,all,0.119164396003633,0,layering,1,0.241423915717682,0.063615205585725,0.47851002865329506,0.733524355300859,0.8510028653295121,0.75,2,349,385,653543,114.60065507888794,0.138887093443435,0.982342546307955,0.14202362689741702,0.36977117334589804,0.07735902521960801,0.189564504917329,296,0.040372670807453,0.162162162162162,0.54054054054054,0.746621621621621
