run_name,dataset,detector,augmentation,label_fraction,heldout_typology,detector_hardness,detector_hardness,detector_hardness,ledger_violation_rate,ledger_violation_rate,ledger_violation_rate,mean_flow_residual,mean_flow_residual,mean_flow_residual,profile_drift,profile_drift,profile_drift,acceptance_rate,acceptance_rate,acceptance_rate,categorical_fractionality_rate,categorical_fractionality_rate,categorical_fractionality_rate,negative_feature_rate,negative_feature_rate,negative_feature_rate
,,,,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
cikm_v2_heldout_structuring,amlnet,xgboost,none,1.0,structuring,,,0,,,0,,,0,,,0,,,0,,,0,,,0
cikm_v3_heldout_integration,amlnet,lightgbm,curriculum_projected_v2,1.0,integration,3.9936419955413065,0.05198228138133325,3,0.0,0.0,3,0.0,0.0,3,0.854194053279369,0.013676070681242625,3,0.948905109489051,0.0,3,0.0,0.0,3,0.0,0.0,3
cikm_v3_heldout_integration,amlnet,lightgbm,hard_projected_v2,1.0,integration,8.608750031702334,0.14340396754413223,3,0.0,0.0,3,0.0,0.0,3,0.6639097090647764,0.025098708219811233,3,0.948905109489051,0.0,3,0.0,0.0,3,0.0,0.0,3
cikm_v3_heldout_integration,amlnet,lightgbm,none,1.0,integration,,,0,,,0,,,0,,,0,,,0,,,0,,,0
cikm_v3_heldout_integration,amlnet,lightgbm,plausible_hard_projected_v2,1.0,integration,7.5937134721002835,0.15728451559014783,3,0.0,0.0,3,0.0,0.0,3,0.46597995639531065,0.01137688520459679,3,0.948905109489051,0.0,3,0.0,0.0,3,0.0,0.0,3
cikm_v3_heldout_integration,amlnet,lightgbm,plausible_typology_projected_v2,1.0,integration,7.946563573779559,0.04386128711588894,3,0.0,0.0,3,0.0,0.0,3,0.463505533427718,0.01625857567883952,3,0.948905109489051,0.0,3,0.0,0.0,3,0.0,0.0,3
cikm_v3_heldout_integration,amlnet,lightgbm,random_feasible_v2,1.0,integration,0.022098441126777002,0.02094364467504016,3,0.0,0.0,3,0.0,0.0,3,2.059671773619867,0.008305485254941139,3,0.948905109489051,0.0,3,0.0,0.0,3,0.0,0.0,3
cikm_v3_heldout_integration,amlnet,lightgbm,typology_projected_v2,1.0,integration,8.958139341499482,0.19674018032864057,3,0.0,0.0,3,0.0,0.0,3,0.6763102872412587,0.04268243345430835,3,0.948905109489051,0.0,3,0.0,0.0,3,0.0,0.0,3
cikm_v3_heldout_integration,amlnet,xgboost,curriculum_projected_v2,1.0,integration,4.46417754565226,0.09582568116065454,3,0.0,0.0,3,0.0,0.0,3,0.5185003832813168,0.017978298024693803,3,0.948905109489051,0.0,3,0.0,0.0,3,0.0,0.0,3
cikm_v3_heldout_integration,amlnet,xgboost,hard_projected_v2,1.0,integration,8.480993957526374,0.15938302791912712,3,0.0,0.0,3,0.0,0.0,3,0.41462381919194496,0.0170911433390523,3,0.948905109489051,0.0,3,0.0,0.0,3,0.0,0.0,3
cikm_v3_heldout_integration,amlnet,xgboost,none,1.0,integration,,,0,,,0,,,0,,,0,,,0,,,0,,,0
cikm_v3_heldout_integration,amlnet,xgboost,plausible_hard_projected_v2,1.0,integration,8.184742961317554,0.17074720123221038,3,0.0,0.0,3,0.0,0.0,3,0.32601742275917533,0.006716106465002399,3,0.948905109489051,0.0,3,0.0,0.0,3,0.0,0.0,3
cikm_v3_heldout_integration,amlnet,xgboost,plausible_typology_projected_v2,1.0,integration,9.872734061735045,0.14115240788761238,3,0.0,0.0,3,0.0,0.0,3,0.26490336495097433,0.008661611086268551,3,0.948905109489051,0.0,3,0.0,0.0,3,0.0,0.0,3
cikm_v3_heldout_integration,amlnet,xgboost,random_feasible_v2,1.0,integration,0.009465805834396665,0.007717089052509334,3,0.0,0.0,3,0.0,0.0,3,2.059671773619867,0.008305485254941139,3,0.948905109489051,0.0,3,0.0,0.0,3,0.0,0.0,3
cikm_v3_heldout_integration,amlnet,xgboost,typology_projected_v2,1.0,integration,11.144205736125032,0.17895005265995326,3,0.0,0.0,3,0.0,0.0,3,0.3369728684632747,0.002107236920297163,3,0.948905109489051,0.0,3,0.0,0.0,3,0.0,0.0,3
